epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,240.674,0.83227,1.51267,1.20493,0.83148,0.77106,0.86129,0.6672,0.78755,0.99372,1.18687,0.00999217,0.00333072,0.00999217,0.00333072,0.00999217,0.00333072,0.00999217,0.00333072
2,426.672,0.84037,0.99035,1.20408,0.8288,0.74192,0.83321,0.64091,0.82698,0.99881,1.2594,0.0195963,0.00653211,0.0195963,0.00653211,0.0195963,0.00653211,0.0195963,0.00653211
3,604.015,0.89079,1.0377,1.23942,0.82007,0.73242,0.82328,0.62906,0.83799,1.05293,1.27515,0.0288045,0.00960149,0.0288045,0.00960149,0.0288045,0.00960149,0.0288045,0.00960149
4,778.842,0.86889,0.99631,1.22902,0.86411,0.8162,0.88894,0.71459,0.71167,0.74287,1.15727,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,952.749,0.79269,0.87199,1.1813,0.8782,0.82455,0.90654,0.74139,0.65312,0.66624,1.1079,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1126.57,0.73942,0.79772,1.14869,0.89507,0.84909,0.91873,0.76747,0.61123,0.59071,1.07013,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1300.62,0.71172,0.74303,1.12597,0.9101,0.85601,0.93144,0.79289,0.58763,0.5529,1.04117,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1474.49,0.68024,0.7027,1.11167,0.92001,0.85668,0.93434,0.79628,0.57084,0.53185,1.04577,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1649.17,0.6604,0.66935,1.09838,0.89867,0.881,0.94111,0.81182,0.55027,0.50045,1.02558,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1823.04,0.64629,0.64486,1.08879,0.91362,0.87458,0.9446,0.81753,0.53865,0.49132,1.01171,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
